team_id,overall,power,tier,week
1,10,10,4,1
2,9,8,3,1
3,12,12,5,1
4,4,6,2,1
5,6,9,3,1
6,2,2,1,1
7,1,1,1,1
8,3,4,1,1
9,7,3,1,1
10,8,5,2,1
11,11,11,5,1
12,5,7,2,1
1,10,12,5,2
2,5,6,3,2
3,6,9,4,2
4,9,10,4,2
5,2,2,1,2
6,4,4,3,2
7,3,3,2,2
8,8,11,4,2
9,11,5,3,2
10,12,7,3,2
11,7,8,4,2
12,1,1,1,2
1,8,12,5,4
2,10,9,4,4
3,4,5,2,4
4,11,10,5,4
5,2,3,2,4
6,6,4,2,4
7,5,6,2,4
8,7,11,5,4
9,9,8,3,4
10,12,7,3,4
11,3,2,2,4
12,1,1,1,4
1,11,12,5,5
2,6,5,2,5
3,5,8,3,5
4,9,10,3,5
5,4,9,3,5
6,8,7,3,5
7,3,3,2,5
8,10,11,4,5
9,7,4,2,5
10,12,6,2,5
11,2,2,2,5
12,1,1,1,5
1,12,12,5,6
2,9,6,3,6
3,6,10,4,6
4,11,9,4,6
5,2,5,2,6
6,5,7,3,6
7,3,2,1,6
8,7,11,4,6
9,10,8,3,6
10,8,4,2,6
11,4,3,2,6
12,1,1,1,6
1,10,12,5,7
2,5,5,2,7
3,9,9,4,7
4,12,10,5,7
5,4,7,3,7
6,8,8,4,7
7,3,4,1,7
8,11,11,5,7
9,7,6,3,7
10,6,2,1,7
11,2,3,1,7
12,1,1,1,7
1,6,7,4,8
2,10,6,4,8
3,7,12,5,8
4,12,9,5,8
5,4,10,5,8
6,5,8,5,8
7,3,4,3,8
8,8,11,5,8
9,11,5,3,8
10,9,3,3,8
11,1,1,1,8
12,2,2,2,8
1,11,10,3,9
2,12,9,3,9
3,9,11,3,9
4,7,6,2,9
5,10,12,3,9
6,4,5,2,9
7,3,3,2,9
8,8,8,3,9
9,6,7,2,9
10,5,4,2,9
11,1,1,1,9
12,2,2,2,9
1,7,8,2,10
2,12,10,3,10
3,10,12,4,10
4,5,5,1,10
5,8,9,3,10
6,6,6,2,10
7,2,1,1,10
8,11,11,4,10
9,9,7,2,10
10,4,3,1,10
11,1,2,1,10
12,3,4,1,10
1,8,7,4,11
2,12,9,4,11
3,7,11,5,11
4,3,2,1,11
5,10,12,5,11
6,6,6,4,11
7,2,4,2,11
8,9,10,4,11
9,11,8,4,11
10,4,3,2,11
11,1,1,1,11
12,5,5,3,11
1,5,4,4,14
2,12,10,5,14
3,9,11,5,14
4,2,1,1,14
5,11,12,5,14
6,6,7,5,14
7,3,3,3,14
8,8,9,5,14
9,7,5,4,14
10,4,6,4,14
11,1,2,2,14
12,10,8,5,14
1,5,5,1,15
2,12,9,2,15
3,9,11,3,15
4,2,4,1,15
5,11,12,3,15
6,6,7,2,15
7,3,2,1,15
8,8,8,2,15
9,7,6,2,15
10,4,3,1,15
11,1,1,1,15
12,10,10,3,15
